Anomalous,Cluster,Day,Month,h1,h2,h3,h4,h5,h6,h7,h8,h9,h10,h11,h12,h13,h14,h15,h16,h17,h18,h19,h20,h21,h22,h23
0,1,21,3,0.287481128,0.207934248,0.180751723,0.179091079,0.16941553,0.144659663,0.0,0.552609479,0.549163713,0.57285007,0.573938203,0.572217122,0.549257939,0.558998222,0.696114072,0.801446231,0.998196416,1.0,1.0,1.0,1.0,1.0,0.999963661
0,2,22,3,0.897148003,0.297119489,0.187514736,0.184370897,0.172596512,0.29742407,0.486717683,0.620414741,0.740288267,0.743560176,0.736308493,0.660980803,0.604106406,0.737002855,0.790525607,0.892272211,1.0,0.760553592,0.804584317,0.502324975,0.0,0.248086463,0.184180795
0,0,23,3,0.003183073,0.0,0.098580138,0.436002271,0.518943793,0.657678854,0.452074479,0.48168248,0.481772495,0.481350198,0.480048709,0.480884464,0.479440254,0.464645218,0.768173356,0.99367303,1.0,1.0,0.998703847,0.647882093,0.354303433,0.132908917,0.005611029
0,0,24,3,0.181011468,0.179826966,0.244039457,0.482960027,0.5872163,0.649781855,0.558758742,0.574726645,0.574722816,0.573184135,0.574254374,0.574318384,0.539050914,0.554640947,0.744024349,0.96965641,1.0,1.0,1.0,0.806809471,0.508203564,0.0,0.265187962
0,0,25,3,0.181384898,0.1802306,0.235524959,0.446671769,0.576192211,0.574962525,0.57197929,0.549172684,0.566882273,0.562589391,0.571407887,0.576081889,0.495826036,0.515585089,0.732573026,0.862443384,1.0,1.0,1.0,0.86104335,0.480793766,0.0,0.215664989
0,0,26,3,0.000823809,0.0,0.05545929,0.30600004,0.480688062,0.481082008,0.480051186,0.475410678,0.47416415,0.470704075,0.469633939,0.3968337,0.48138638,0.30600004,0.47635731,0.683899408,0.832159059,0.997347323,1.0,0.999981259,0.736667582,0.40742926,0.30600004
0,1,27,3,0.174385736,0.18057077,0.173718527,0.0,0.545173241,0.570117383,0.574825384,0.574962256,0.574962256,0.574962256,0.574962256,0.574962256,0.0,0.431506405,0.669138429,0.788910555,0.990685769,1.0,1.0,1.0,1.0,1.0,0.99980633
0,1,28,3,0.431221692,0.263226161,0.181085151,0.178361432,0.168772552,0.0,0.574962256,0.50425179,0.573662637,0.575125117,0.576250987,0.57456606,0.568370844,0.561278696,0.749243074,0.870266005,1.0,1.0,1.0,1.0,1.0,1.0,0.974697174
0,2,29,3,1.0,0.333104386,0.210861419,0.20456258,0.188696729,0.33011607,0.531209978,0.653056813,0.668666819,0.67510145,0.662102875,0.662822245,0.666416297,0.666766336,0.807470126,0.837270321,0.858943703,0.789956979,0.657444794,0.565933628,0.0,0.250629342,0.208622299
0,0,30,3,0.181076381,0.178892859,0.258379292,0.574821808,0.75447619,0.823240919,0.71942939,0.56226036,0.575276151,0.575336486,0.571320997,0.570518028,0.574373977,0.603973319,0.860116561,0.99995623,1.0,1.0,0.999994194,0.789250643,0.506639354,0.0,0.221958564
0,0,31,3,0.180604874,0.179409948,0.238444743,0.49174863,0.56705042,0.577120284,0.573088624,0.558282905,0.556687428,0.570305543,0.572132016,0.555963002,0.495686518,0.490423287,0.718208952,0.862443384,0.999712158,1.0,0.996204678,0.803727596,0.480077985,0.0,0.234830319
0,0,1,4,0.001841255,0.0,0.085513904,0.367845295,0.4756175,0.483501303,0.478132966,0.480883454,0.479600043,0.480458434,0.481773884,0.47735888,0.450374606,0.403568994,0.722027555,0.950909359,1.0,1.0,1.0,0.995413691,0.634035388,0.315349679,0.132319334
0,0,2,4,0.00024603,0.0,0.068456758,0.340581904,0.47930922,0.479940829,0.4808226,0.47156588,0.472451445,0.479069955,0.474562834,0.439932475,0.481909742,0.368757266,0.742597329,0.931383137,1.0,1.0,1.0,1.0,1.0,0.77126286,0.420326073
